"","x"
"1",116.256475049435
"2",119.269287244673
"3",55.0901966526403
"4",118.645730813402
"5",5.81871767475297
"6",114.161863279157
"7",40.6051181939979
"8",55.9950859459773
"9",150.050278368655
"10",95.5402226791964
"11",30.0839315474079
"12",70.006522199085
"13",97.7766005439727
"14",2.13476118581476
"15",32.4319977515634
"16",91.5511993880754
"17",118.51576332947
"18",72.6951133986243
"19",57.8829416791443
"20",-35.1339237569605
"21",45.6051307905637
"22",128.841465729832
"23",-9.70912621646255
"24",152.001634538605
"25",33.3275512955306
"26",-16.4852468445009
"27",8.49128809402995
"28",25.8502853216063
"29",13.9713484091034
"30",75.407233594278
"31",8.50093090759009
"32",-16.8055003787937
"33",-55.257138116824
"34",20.365572095163
"35",101.254860143718
"36",83.6018991608177
"37",126.068099568974
"38",41.6812812971911
"39",64.1412173002896
"40",59.8044130764852
"41",98.6336916449175
"42",58.1439573413712
"43",94.0784159961182
"44",168.646898637406
"45",-23.3940289507357
"46",94.4621823530446
"47",86.06492662423
"48",105.355043071505
"49",126.811888588293
"50",19.9966195813037
