"","x"
"1",4.18681160513712
"2",-8.600007133467
"3",83.1137704403581
"4",116.172585373064
"5",31.1269861621796
"6",13.7332668487247
"7",-31.1225806059065
"8",99.0156362193423
"9",13.1438923165563
"10",107.53591114743
"11",82.5566699860045
"12",32.8128715837213
"13",24.0851004903232
"14",-18.8986595952253
"15",115.689771298149
"16",52.6799789461177
"17",37.1294379516044
"18",11.4222419664446
"19",56.9063086736964
"20",57.8563888283449
"21",69.4245868005366
"22",118.738814302282
"23",42.7809744342482
"24",36.7004452323123
"25",81.6432505849607
